Area,Price Januray 2022,Price Januray 2021,y/y % change
Canada,748439.00,618587.00,21.00
British Columbia,1040888.00,843918.00,23.30
Alberta,443398.00,403261.00,10.00
Manitoba,338772.00,304759.00,11.20
Saskatchewan,285700.00,267100.00,7.00
Ontario,998629.00,795322.00,25.60
Quebec,474941.00,408265.00,16.30
Newfoundland and Labrador,324800.00,290300.00,11.90
Nova Scotia,392828.00,318827.00,23.20
New Brunswick,275000.00,208400.00,32.00
Prince Edward Island,351890.00,299141.00,17.60
Northwest Territories,295583.00,359280.00,-17.70
Yukon,391158.00,451840.00,-13.40
