Rank,Name,Team,Position,Salary
1,Nathan MacKinnon,COL,C,12600000
2,Connor McDavid,EDM,C,12500000
3,Artemi Panarin,NYR,LW,11642857
4,Auston Matthews,TOR,C,11640250
5,Erik Karlsson,PIT,D,11500000
6,David Pastrnak,BOS,RW,11250000
7,Drew Doughty,LAK,D,11000000
,John Tavares,TOR,C,11000000
9,Mitchell Marner,TOR,RW,10903000
10,Carey Price,MTL,G,10500000
,Jonathan Huberdeau,CGY,LW,10500000
12,Aleksander Barkov,FLA,C,10000000
,Anze Kopitar,LAK,C,10000000
,Jack Eichel,VGK,C,10000000
,Sergei Bobrovsky,FLA,G,10000000
16,Tyler Seguin,DAL,C,9850000
17,Johnny Gaudreau,CBJ,LW,9750000
18,Zachary Werenski,CBJ,D,9583333
19,Adam Fox,NYR,D,9500000
,Alex Ovechkin,WAS,LW,9500000
,Andrei Vasilevskiy,TBL,G,9500000
,Brayden Point,TBL,C,9500000
,Charles Mcavoy,BOS,D,9500000
,Jamie Benn,DAL,LW,9500000
,Mark Stone,VGK,RW,9500000
,Matthew Tkachuk,FLA,LW,9500000
,Nikita Kucherov,TBL,RW,9500000
,Seth Jones,CHI,D,9500000
29,Darnell Nurse,EDM,D,9250000
,Mikko Rantanen,COL,RW,9250000
31,Nicklas Backstrom,WAS,C,9200000
32,Mathew Barzal,NYI,C,9150000
33,Roman Josi,NSH,D,9059000
34,Cale Makar,COL,D,9000000
,Dougie Hamilton,NJD,D,9000000
,Jeff Skinner,BUF,LW,9000000
,Kirill Kaprizov,MIN,LW,9000000
38,Alex Pietrangelo,VGK,D,8800000
,Timo Meier,NJD,LW,8800000
40,Dylan Larkin,DET,C,8700000
,Patrik Laine,CBJ,RW,8700000
,Sidney Crosby,PIT,C,8700000
43,Bo Horvat,NYI,C,8500000
,Filip Forsberg,NSH,C,8500000
,Leon Draisaitl,EDM,C,8500000
,Mika Zibanejad,NYR,C,8500000
,Mikhail Sergachev,TBL,D,8500000
,Pierre-Luc Dubois,LAK,C,8500000
,Steven Stamkos,TBL,C,8500000
50,Sebastian Aho,CAR,LW,8460250
51,Miro Heiskanen,DAL,D,8450000
,Roope Hintz,DAL,LW,8450000
53,Tim Stützle,OTT,C,8350000
54,Jakub Voracek,ARI,RW,8250063
55,Brady Tkachuk,OTT,LW,8205714
56,Tomas Hertl,VGK,C,8137500
57,Jordan Kyrou,STL,C,8125000
,Robert Thomas,STL,C,8125000
59,Brent Burns,CAR,D,8000000
,J.T. Miller,VAN,C,8000000
,Jack Hughes,NJD,C,8000000
,Jacob Trouba,NYR,D,8000000
,John Carlson,WAS,D,8000000
,Logan Couture,SJS,C,8000000
,Ryan Johansen,PHI,C,8000000
,Thomas Chabot,OTT,D,8000000
67,Josh Norris,OTT,C,7950000
68,Alexander Debrincat,DET,RW,7875000
,Jesper Bratt,NJD,LW,7875000
,Kevin Fiala,LAK,LW,7875000
,Nick Suzuki,MTL,C,7875000
,Victor Hedman,TBL,D,7875000
73,Shea Weber,ARI,D,7857143
74,Cole Caufield,MTL,RW,7850000
,Quinn Hughes,VAN,D,7850000
76,Evgeny Kuznetsov,CAR,C,7800000
77,Andrei Svechnikov,CAR,RW,7750000
,Dmitry Orlov,CAR,D,7750000
,Jason Robertson,DAL,LW,7750000
,Sean Couturier,PHI,C,7750000
81,Jared Spurgeon,MIN,D,7575000
82,Aaron Ekblad,FLA,D,7500000
,Morgan Rielly,TOR,D,7500000
84,Elias Pettersson,VAN,C,7350000
,Vince Dunn,SEA,D,7350000
86,Nico Hischier,NJD,C,7250000
87,Clayton Keller,ARI,C,7150000
88,Kevin Hayes,STL,C,7142857
,Kyle Connor,WPG,LW,7142857
,Tage Thompson,BUF,C,7142857
91,Dylan Cozens,BUF,C,7100000
92,Anders Lee,NYI,C,7000000
,Gabriel Landeskog,COL,LW,7000000
,Marc-Edouard Vlasic,SJS,D,7000000
,Matthew Boldy,MIN,LW,7000000
,Nazem Kadri,CGY,C,7000000
,Troy Terry,ANA,RW,7000000
98,William Nylander,TOR,C,6962366
99,Brent Seabrook,TBL,D,6875000
100,Ivan Provorov,CBJ,D,6750000
,Ryan McDonagh,NSH,D,6750000
102,Brock Boeser,VAN,RW,6650000
103,Brayden Schenn,STL,C,6500000
,Brendan Gallagher,MTL,RW,6500000
,Cam Fowler,ANA,D,6500000
,Chris Kreider,NYR,LW,6500000
,Claude Giroux,OTT,C,6500000
,Colton Parayko,STL,D,6500000
,Hampus Lindholm,BOS,D,6500000
,Justin Faulk,STL,D,6500000
,Sam Reinhart,FLA,C,6500000
,Torey Krug,STL,D,6500000
113,John Gibson,ANA,G,6400000
114,Alexander Killorn,ANA,C,6250000
,Anthony Cirelli,TBL,C,6250000
,Damon Severson,CBJ,D,6250000
,Jeff Petry,DET,D,6250000
,Joshua Morrissey,WPG,D,6250000
,MacKenzie Weegar,CGY,D,6250000
,Matthew Murray,TOR,G,6250000
,Mattias Ekholm,EDM,D,6250000
,Ryan Ellis,PHI,D,6250000
,Travis Sanheim,PHI,D,6250000
124,Connor Hellebuyck,WPG,G,6166666
125,Ryan Pulock,NYI,D,6150000
126,Brad Marchand,BOS,LW,6125000
,Mark Scheifele,WPG,C,6125000
,Valeri Nichushkin,COL,RW,6125000
129,Evgeni Malkin,PIT,C,6100000
